FID_4,FID_1,Count,Length,Area,Cell_Index,Mesh_Name,FID_SGHUAV,Assigned_c,Shape_Leng,Shape_Area
685,685.0,5.0,40.0,100.0,175.0,A2,905,HERB02,44.6655999925,38.8471491826
685,685.0,5.0,40.0,100.0,175.0,A2,943,BARELAND01,38.1368000098,30.2442448424
685,685.0,5.0,40.0,100.0,175.0,A2,944,HERB02,26.4727999959,17.0592756312
685,685.0,5.0,40.0,100.0,175.0,A2,985,BARELAND01,31.9866000041,10.4597351064
686,686.0,5.0,40.0,100.0,176.0,A2,902,HERB02,18.1132000107,10.0721954062
686,686.0,5.0,40.0,100.0,176.0,A2,903,BARELAND01,20.8835999966,12.9568655353
686,686.0,5.0,40.0,100.0,176.0,A2,985,BARELAND01,42.2240000013,49.9563813757
694,694.0,6.0,47.3267851588,143.050864106,184.0,A2,804,BARELAND01,12.654460901,6.35182449605
694,694.0,6.0,47.3267851588,143.050864106,184.0,A2,850,BARELAND01,52.6543029815,102.29121398
694,694.0,6.0,47.3267851588,143.050864106,184.0,A2,851,BARELAND01,22.9923836145,19.5883647498
694,694.0,6.0,47.3267851588,143.050864106,184.0,A2,852,BARELAND01,21.9635092151,14.8182540655
695,695.0,5.0,40.0,100.0,185.0,A2,804,BARELAND01,5.41439999826,0.863265128875
695,695.0,5.0,40.0,100.0,185.0,A2,849,BARELAND01,40.4459999967,58.5848008162
695,695.0,5.0,40.0,100.0,185.0,A2,850,BARELAND01,35.7435999978,40.551934055
696,696.0,5.0,40.0,100.0,186.0,A2,803,BARELAND01,9.02619999833,1.19677579585
696,696.0,5.0,40.0,100.0,186.0,A2,849,BARELAND01,41.1103999987,98.8032242042
697,697.0,5.0,40.0,100.0,187.0,A2,803,BARELAND01,0.157199997455,0.000277129945638
697,697.0,5.0,40.0,100.0,187.0,A2,847,BARELAND01,2.05719999969,0.182366160186
697,697.0,5.0,40.0,100.0,187.0,A2,848,BARELAND01,42.035000002,54.0598839236
697,697.0,5.0,40.0,100.0,187.0,A2,849,BARELAND01,34.4526000023,31.5833455989
697,697.0,5.0,40.0,100.0,187.0,A2,906,BARELAND01,15.7092000023,6.95152702089
697,697.0,5.0,40.0,100.0,187.0,A2,908,BARELAND01,19.2192000039,7.22260016643
698,698.0,5.0,40.0,100.0,188.0,A2,846,BARELAND01,16.1880000029,7.06006086738
698,698.0,5.0,40.0,100.0,188.0,A2,847,BARELAND01,28.7017999999,22.2895275426
698,698.0,5.0,40.0,100.0,188.0,A2,848,BARELAND01,26.6483999975,19.3544320373
698,698.0,5.0,40.0,100.0,188.0,A2,906,BARELAND01,19.5294000003,12.2671594941
698,698.0,5.0,40.0,100.0,188.0,A2,907,BARELAND01,36.999400001,39.0232860577
698,698.0,5.0,40.0,100.0,188.0,A2,908,BARELAND01,1.12680000253,0.00553400090335
699,699.0,5.0,40.0,100.0,189.0,A2,800,BARELAND01,9.6681999974,1.15070475815
699,699.0,5.0,40.0,100.0,189.0,A2,844,BARELAND01,1.92059999891,0.187821659617
699,699.0,5.0,40.0,100.0,189.0,A2,845,HERB02,24.7651999947,8.32913290162
699,699.0,5.0,40.0,100.0,189.0,A2,846,BARELAND01,36.1467999872,25.0584291248
699,699.0,5.0,40.0,100.0,189.0,A2,904,HERB02,33.3605999909,11.3778014412
699,699.0,5.0,40.0,100.0,189.0,A2,905,HERB02,3.03399999999,0.230495390878
699,699.0,5.0,40.0,100.0,189.0,A2,907,BARELAND01,30.3057999946,19.4493968792
699,699.0,5.0,40.0,100.0,189.0,A2,944,HERB02,34.2867999971,34.2162178446
700,700.0,5.0,40.0,100.0,190.0,A2,844,BARELAND01,36.7700000107,23.6474985633
700,700.0,5.0,40.0,100.0,190.0,A2,845,HERB02,21.866399996,11.3184862976
700,700.0,5.0,40.0,100.0,190.0,A2,903,BARELAND01,37.6458000094,43.6717395833
700,700.0,5.0,40.0,100.0,190.0,A2,904,HERB02,11.5749999993,2.44939658807
700,700.0,5.0,40.0,100.0,190.0,A2,905,HERB02,26.0374000091,18.9128789677
701,701.0,5.0,40.0,100.0,191.0,A2,902,HERB02,35.4448000118,26.1069225648
701,701.0,5.0,40.0,100.0,191.0,A2,903,BARELAND01,45.8212000038,44.7607488199
708,708.0,6.0,49.0183949275,155.012351494,198.0,A2,738,BARELAND01,26.2221601202,17.8396350012
708,708.0,6.0,49.0183949275,155.012351494,198.0,A2,739,BARELAND01,0.0879819134424,0.000330330000518
